nh,year,villid,thanaid,agehead,sexhead,educhead,famsize,hhland,hhasset,expfd,expnfd,exptot,dmmfd,dfmfd,weight,vaccess,pcirr,rice,wheat,milk,potato,egg,oil,lexptot,lnland,progvillm,progvillf
11054,1,1,1,79,1,0,2,36,33295,8262.958,1240.3574,9503.3154,0,1,1.0427351,1,.44999999,12.631389,8.1201782,11.503587,8.5474281,2.1992149,40.600895,9.1595011,.30748469,1,1
11061,1,1,1,43,1,6,4,116,180325,6724.8613,12486.467,19211.328,1,1,1.0113961,1,.44999999,12.631389,8.1201782,11.503587,8.5474281,2.1992149,40.600895,9.863307,.77010822,1,1
11081,1,1,1,52,0,0,7,91,80735,5113.3926,2393.6162,7507.0088,0,1,1.0113961,1,.44999999,12.631389,8.1201782,11.503587,8.5474281,2.1992149,40.600895,8.9237251,.64710325,1,1
11101,1,1,1,48,1,0,7,8,16755,4080.9697,1252.9243,5333.894,0,1,1.0113961,1,.44999999,12.631389,8.1201782,11.503587,8.5474281,2.1992149,40.600895,8.5820246,.07696104,1,1
12021,1,2,1,35,1,10,5,10,18795,7031.5337,17638.516,24670.049,0,1,.76305217,1,.2,10.150224,6.0901341,10.826905,6.8684692,2.0300446,43.307621,10.113386,.095310181,0,1
12035,1,2,1,33,1,5,7,16,44877.523,2107.3796,1168.6292,3276.0088,0,0,2.2489958,1,.2,10.150224,6.0901341,10.826905,6.8684692,2.0300446,43.307621,8.0946865,.14842001,0,1
12051,1,2,1,26,1,2,3,1,5142.7798,4824.9653,1167.0498,5992.0151,0,0,.76305217,1,.2,10.150224,6.0901341,10.826905,6.8684692,2.0300446,43.307621,8.69835,.0099503305,0,1
12054,1,2,1,38,1,5,4,66,113032.89,5890.5127,1414.4341,7304.9468,0,0,.81927711,1,.2,10.150224,6.0901341,10.826905,6.8684692,2.0300446,43.307621,8.8964443,.50681758,0,1
12081,1,2,1,35,1,0,7,10,26160,4691.1431,2118.3032,6809.4463,0,1,.76305217,1,.2,10.150224,6.0901341,10.826905,6.8684692,2.0300446,43.307621,8.8262129,.095310181,0,1
12121,1,2,1,48,1,0,8,5,17080,2690.8242,811.25659,3502.0808,0,1,.76305217,1,.2,10.150224,6.0901341,10.826905,6.8684692,2.0300446,43.307621,8.1613979,.048790164,0,1
13014,1,3,1,45,1,9,4,26,30320,4023.5486,1271.1462,5294.6948,0,1,1.5294118,0,.75,9.0224209,6.0901341,10.826905,6.1053057,2.0300446,40.600895,8.5746498,.23111172,1,1
13015,1,3,1,35,1,0,4,138,84103,3665.584,2480.5454,6146.1294,0,1,1.490196,0,.75,9.0224209,6.0901341,10.826905,6.1053057,2.0300446,40.600895,8.7237406,.86710048,1,1
13021,1,3,1,55,1,10,4,73,61220,4043.1724,1198.5723,5241.7446,0,1,.65686274,0,.75,9.0224209,6.0901341,10.826905,6.1053057,2.0300446,40.600895,8.5646,.54812139,1,1
13025,1,3,1,55,1,1,6,262,642238.5,4540.5332,4913.6104,9454.1436,0,0,1.490196,0,.75,9.0224209,6.0901341,10.826905,6.1053057,2.0300446,40.600895,9.154314,1.286474,1,1
13035,1,3,1,40,1,5,4,128,348335.34,3636.4866,3551.7322,7188.2188,0,0,1.490196,0,.75,9.0224209,6.0901341,10.826905,6.1053057,2.0300446,40.600895,8.8803377,.82417542,1,1
13041,1,3,1,68,1,0,4,55,39100,2275.6802,5693.2603,7968.9404,0,1,.65686274,0,.75,9.0224209,6.0901341,10.826905,6.1053057,2.0300446,40.600895,8.9834328,.43825492,1,1
13045,1,3,1,48,1,0,4,237,646995.56,4790.9053,2203.6138,6994.519,0,1,1.490196,0,.75,9.0224209,6.0901341,10.826905,6.1053057,2.0300446,40.600895,8.8530254,1.2149128,1,1
13054,1,3,1,28,1,0,4,4,12978.753,1783.3943,485.51904,2268.9133,0,0,1.5294118,0,.75,9.0224209,6.0901341,10.826905,6.1053057,2.0300446,40.600895,7.7274971,.039220713,1,1
13061,1,3,1,55,0,0,4,10,25310,3727.8386,715.25269,4443.0913,0,1,.65686274,0,.75,9.0224209,6.0901341,10.826905,6.1053057,2.0300446,40.600895,8.3993311,.095310181,1,1
13091,1,3,1,70,1,0,4,19,34010,3259.575,6084.8896,9344.4648,1,0,.65686274,0,.75,9.0224209,6.0901341,10.826905,6.1053057,2.0300446,40.600895,9.1426468,.17395331,1,1
13101,1,3,1,55,1,0,4,19,32460,3524.1575,755.34595,4279.5034,0,1,.65686274,0,.75,9.0224209,6.0901341,10.826905,6.1053057,2.0300446,40.600895,8.3618259,.17395331,1,1
